"Stage","Lead Source","ISI Sales Territory","Channel Partner","UC Platform(s)","Industry","Close Date","Close Month","Fiscal Period","Fiscal Year","Age","Amount"
"Closed Lost","Channel Inbound","West","Sentinel Technologies, Inc.","Cisco","Recreation","3/6/2023","3/1/2023","Q1-2023","2023","305.0000000000","3795.00"
"Closed Won","Customer Support","Gulf","","NEC","Hospitality","11/4/2022","11/1/2022","Q4-2022","2022","199.0000000000","1600.04"
"Closed Won","Channel Inbound","Southeast","Katalyst Network Group, LLC","Cisco; Cisco UCCX","Finance","1/21/2021","1/1/2021","Q1-2021","2021","134.0000000000","3960.00"
"Closed Won","Channel Inbound","Northeast","ConvergeOne, Inc.","Cisco","Retail","10/9/2020","10/1/2020","Q4-2020","2020","30.0000000000","19217.81"
"Closed Lost","Channel Inbound","Midwest","ConvergeOne, Inc.","Cisco","Not For Profit","12/22/2020","12/1/2020","Q4-2020","2020","154.0000000000","3150.00"
"Closed Won","Customer Support","Northeast","","Cisco","Education","9/30/2022","9/1/2022","Q3-2022","2022","36.0000000000","5985.00"
"Closed Won","Channel Inbound","Midwest","ConvergeOne, Inc.","Cisco; Microsoft Teams","Finance","12/29/2022","12/1/2022","Q4-2022","2022","127.0000000000","23355.00"
"Closed Lost","Channel Inbound","Gulf","Presidio Networked Solutions Group, LLC","Cisco","Transportation","1/14/2020","1/1/2020","Q1-2020","2020","358.0000000000","4954.00"
"Closed Lost","Customer Support","Midwest","CDW Logistics, Inc.","Cisco","Shipping","1/3/2023","1/1/2023","Q1-2023","2023","97.0000000000","6542.40"
"Closed Lost","Channel Inbound","","CDW Logistics, Inc.","Cisco","","5/5/2020","5/1/2020","Q2-2020","2020","54.0000000000","5173.75"
"Closed Lost","Channel Inbound","North Central","CompuNet Inc.","Cisco; Cisco UCCX","Healthcare","4/9/2021","4/1/2021","Q2-2021","2021","72.0000000000","58275.00"
"Closed Lost","Website","Southeast","Internetwork Engineering","Cisco; Cisco UCCX","Healthcare","9/2/2022","9/1/2022","Q3-2022","2022","479.0000000000","4992.00"
"Closed Lost","Channel Inbound","North Central","","Cisco","Healthcare","12/23/2020","12/1/2020","Q4-2020","2020","152.0000000000","2975.00"
"Closed Lost","Affiliate/Partner Programs","North Central","CDW Logistics, Inc.","Cisco","Apparel","8/5/2019","8/1/2019","Q3-2019","2019","192.0000000000","19696.00"
"Closed Won","Channel Inbound","West","ConvergeOne, Inc.","Cisco","Manufacturing","3/30/2021","3/1/2021","Q1-2021","2021","35.0000000000","19537.20"
"Closed Lost","Website","West","","Cisco","Machinery","3/18/2021","3/1/2021","Q1-2021","2021","167.0000000000","4500.00"
"Closed Lost","Channel Inbound","Gulf","Presidio Networked Solutions Group, LLC","Cisco; Cisco UCCX","Healthcare","4/11/2023","4/1/2023","Q2-2023","2023","579.0000000000","70877.76"
"Closed Lost","Channel Inbound","West","ConvergeOne, Inc.","Avaya","Education","4/27/2021","4/1/2021","Q2-2021","2021","294.0000000000","68040.00"
"Closed Lost","Customer Support","Gulf","","Cisco; Oracle Acme Packet","Finance","11/18/2022","11/1/2022","Q4-2022","2022","212.0000000000","25462.74"
"Closed Lost","Channel Inbound","Midwest","Trace3, Inc.","Cisco","Healthcare","5/15/2023","5/1/2023","Q2-2023","2023","346.0000000000","8574.00"
"Closed Lost","Channel Inbound","North Central","ConvergeOne, Inc.","Cisco","Finance","4/27/2021","4/1/2021","Q2-2021","2021","281.0000000000","39528.72"
"Closed Won","Website","Midwest","","Microsoft Teams","Manufacturing","9/21/2022","9/1/2022","Q3-2022","2022","24.0000000000","15865.20"
"Closed Lost","Customer Support","Northeast","AT&T Services, Inc.","Cisco","Healthcare","8/30/2022","8/1/2022","Q3-2022","2022","288.0000000000","1177.70"
"Closed Won","Channel Inbound","Midwest","Sirius Computer Solutions, Inc. - a CDW Company","Cisco","Insurance","3/27/2020","3/1/2020","Q1-2020","2020","14.0000000000","4468.00"
"Closed Lost","Channel Inbound","Gulf","ConvergeOne, Inc.","Cisco; Cisco UCCE; Microsoft Teams","Healthcare","5/3/2021","5/1/2021","Q2-2021","2021","234.0000000000","14472.00"
"Closed Lost","Channel Inbound","West","World Wide Technology, Inc.","Cisco; Cisco UCCX; Microsoft Teams","Government","11/30/2020","11/1/2020","Q4-2020","2020","45.0000000000","7956.00"
"Closed Lost","Channel Inbound","Southeast","Presidio Networked Solutions Group, LLC","Cisco","Utilities","1/23/2020","1/1/2020","Q1-2020","2020","345.0000000000","23494.00"
"Closed Lost","Website","","","Microsoft Teams","Legal","5/25/2022","5/1/2022","Q2-2022","2022","62.0000000000","14916.00"
"Closed Won","Direct Sales","Northeast","","Cisco","Education","7/29/2020","7/1/2020","Q3-2020","2020","22.0000000000","5400.00"
"Closed Lost","Customer Support","Northeast","NTT America, Inc.","Cisco","Finance","9/7/2022","9/1/2022","Q3-2022","2022","78.0000000000","6783.15"
"Closed Won","Customer Support","West","ConvergeOne, Inc.","Avaya","Government","8/31/2022","8/1/2022","Q3-2022","2022","163.0000000000","9945.14"
"Closed Won","Channel Inbound","North Central","","Cisco","Healthcare","11/11/2020","11/1/2020","Q4-2020","2020","22.0000000000","9240.00"
"Closed Lost","Customer Support","Midwest","","Cisco","Insurance","11/29/2022","11/1/2022","Q4-2022","2022","90.0000000000","10555.02"
"Closed Won","Customer Support","Gulf","Accudata Systems Inc.","Cisco","Education","9/19/2022","9/1/2022","Q3-2022","2022","19.0000000000","684.00"
"Closed Won","Channel Inbound","North Central","CompuNet Inc.","Cisco; Cisco UCCX; Cisco CUCME/CUBE","Government","10/30/2020","10/1/2020","Q4-2020","2020","78.0000000000","66213.32"
"Closed Won","Channel Inbound","Midwest","ConvergeOne, Inc.","Cisco","Legal","9/16/2020","9/1/2020","Q3-2020","2020","14.0000000000","13708.80"
"Closed Lost","Channel Inbound","North Central","Advanced Network Management, Inc.","Cisco; Cisco UCCX; RingCentral","Finance","1/27/2022","1/1/2022","Q1-2022","2022","546.0000000000","39962.00"
"Closed Won","Channel Inbound","West","ConvergeOne, Inc.","Cisco","Utilities","12/20/2019","12/1/2019","Q4-2019","2019","260.0000000000","8385.75"
"Closed Lost","Customer Support","Midwest","Sentinel Technologies, Inc.","Cisco; Cisco UCCX","Healthcare","11/21/2022","11/1/2022","Q4-2022","2022","181.0000000000","5860.40"
"Closed Won","Website","Midwest","Logicalis, Inc.","Cisco; Microsoft Teams","Technology","3/2/2021","3/1/2021","Q1-2021","2021","407.0000000000","61209.00"
"Closed Lost","Channel Inbound","Northeast","Carousel Industries of North America, Inc.","Cisco","Healthcare","6/17/2020","6/1/2020","Q2-2020","2020","159.0000000000","127000.00"
"Closed Lost","Channel Inbound","West","Advanced Network Management, Inc.","Cisco","Healthcare","12/22/2020","12/1/2020","Q4-2020","2020","260.0000000000","18080.00"
"Closed Lost","Channel Inbound","West","Sentinel Technologies, Inc.","Cisco","Government","7/1/2020","7/1/2020","Q3-2020","2020","106.0000000000","7020.00"
"Closed Lost","Channel Inbound","West","CDW Logistics, Inc.","Cisco; Cisco UCCX","Manufacturing","4/21/2021","4/1/2021","Q2-2021","2021","138.0000000000","8400.00"
"Closed Won","Channel Inbound","Northeast","CDW Logistics, Inc.","Cisco","Legal","7/30/2020","7/1/2020","Q3-2020","2020","2.0000000000","10035.00"
"Closed Won","Channel Inbound","North Central","Heartland Business Systems, LLC","Cisco","Finance","10/27/2021","10/1/2021","Q4-2021","2021","13.0000000000","3120.00"
"Closed Lost","Channel Inbound","Gulf","Presidio Networked Solutions Group, LLC","Cisco; Cisco UCCX","Education","9/9/2022","9/1/2022","Q3-2022","2022","771.0000000000","41151.00"
"Closed Lost","Channel Inbound","","Presidio Networked Solutions Group, LLC","Cisco","","1/24/2020","1/1/2020","Q1-2020","2020","364.0000000000","26080.00"
"Closed Won","Channel Inbound","West","Presidio Networked Solutions Group, LLC","Cisco","Healthcare","12/14/2020","12/1/2020","Q4-2020","2020","54.0000000000","38400.00"
"Closed Lost","Website","West","Network Integration Company Partners, Inc.","Cisco","Education","8/23/2022","8/1/2022","Q3-2022","2022","264.0000000000","9600.00"
"Closed Lost","Channel Inbound","Midwest","Burwood Group, Inc.","Cisco","Finance","4/21/2021","4/1/2021","Q2-2021","2021","344.0000000000","5280.00"
"Closed Lost","Channel Inbound","North Central","Integrated Systems Consultants - ISC","Cisco","Consulting","10/21/2021","10/1/2021","Q4-2021","2021","99.0000000000","4118.40"
"Closed Lost","Channel Inbound","Gulf","ConvergeOne, Inc.","Cisco","Education","8/17/2022","8/1/2022","Q3-2022","2022","617.0000000000","1056.00"
"Closed Lost","Events/Shows","","CDW Logistics, Inc.","Cisco","","9/30/2019","9/1/2019","Q3-2019","2019","376.0000000000","35976.35"
"Closed Lost","Channel Inbound","","Presidio Networked Solutions Group, LLC","Cisco","","7/29/2020","7/1/2020","Q3-2020","2020","674.0000000000","57120.00"
"Closed Lost","Channel Inbound","","Netsync Network Solutions, Inc.","Cisco","","10/31/2019","10/1/2019","Q4-2019","2019","400.0000000000","18756.00"
"Closed Lost","Channel Inbound","Gulf","Pivot Technology Services Corporation","Cisco","Other","8/25/2019","8/1/2019","Q3-2019","2019","314.0000000000","9224.00"
"Closed Lost","Channel Inbound","Southeast","Carousel Industries of North America, Inc.","Cisco","Healthcare","10/3/2019","10/1/2019","Q4-2019","2019","346.0000000000","16471.00"
"Closed Won","Channel Inbound","Southeast","CDW Logistics, Inc.","Cisco","Healthcare","11/30/2022","11/1/2022","Q4-2022","2022","180.0000000000","5066.88"
"Closed Lost","Website","Midwest","Sentinel Technologies, Inc.","Cisco; Cisco UCCX","Other","8/31/2022","8/1/2022","Q3-2022","2022","502.0000000000","6720.00"
"Closed Won","Customer Support","Gulf","Black Box Network Services","Cisco","Government","2/8/2023","2/1/2023","Q1-2023","2023","35.0000000000","8499.60"
"Closed Lost","Website","","","Cisco","Technology","6/10/2020","6/1/2020","Q2-2020","2020","110.0000000000","4230.00"
"Closed Lost","Channel Inbound","Southeast","CDW Logistics, Inc.","Cisco","Education","5/26/2021","5/1/2021","Q2-2021","2021","435.0000000000","9080.00"
"Closed Won","Website","Gulf","Accudata Systems Inc.","Cisco; Cisco UCCX","Education","6/29/2022","6/1/2022","Q2-2022","2022","57.0000000000","4608.00"
"Closed Lost","Channel Inbound","North Central","Heartland Business Systems, LLC","Cisco","Other","4/21/2021","4/1/2021","Q2-2021","2021","79.0000000000","41472.00"
"Closed Won","Channel Inbound","Southeast","NTT America, Inc.","Cisco; Avaya","Hospitality","10/7/2019","10/1/2019","Q4-2019","2019","255.0000000000","52052.36"
"Closed Won","Channel Inbound","Southeast","Presidio Networked Solutions Group, LLC","Cisco","Government","7/10/2020","7/1/2020","Q3-2020","2020","109.0000000000","16971.42"
"Closed Lost","Channel Inbound","Gulf","Insight Direct USA, Inc.","Cisco","Healthcare","9/15/2022","9/1/2022","Q3-2022","2022","797.0000000000","74575.00"
"Closed Won","Customer Support","","AT&T Services, Inc.","Cisco","Finance","8/17/2022","8/1/2022","Q3-2022","2022","201.0000000000","6996.18"
"Closed Won","Channel Inbound","Northeast","CDW Logistics, Inc.","Cisco","Legal","10/19/2020","10/1/2020","Q4-2020","2020","21.0000000000","6285.60"
"Closed Lost","Customer Support","Southeast","Advent Communications, Inc.","Cisco","Healthcare","6/24/2022","6/1/2022","Q2-2022","2022","144.0000000000","13680.00"
"Closed Lost","Channel Inbound","","Intervision","Cisco","","10/24/2019","10/1/2019","Q4-2019","2019","57.0000000000","1314.00"
"Closed Lost","Customer Support","Southeast","","Cisco; Microsoft Teams","Consulting","9/1/2022","9/1/2022","Q3-2022","2022","48.0000000000","19440.00"
"Closed Won","Customer Support","Gulf","ConvergeOne, Inc.","Cisco","Healthcare","12/21/2020","12/1/2020","Q4-2020","2020","6.0000000000","4276.80"
"Closed Lost","Website","North Central","","Cisco","Education","6/10/2020","6/1/2020","Q2-2020","2020","107.0000000000","4230.00"
"Closed Lost","Channel Inbound","North Central","OneNeck IT Solutions, LLC","Cisco","Energy","6/10/2020","6/1/2020","Q2-2020","2020","125.0000000000","17472.00"
"Closed Lost","Channel Inbound","North Central","TD Synnex","Cisco","Government","11/29/2022","11/1/2022","Q4-2022","2022","82.0000000000","71191.32"
"Closed Lost","Customer Support","Northeast","ConvergeOne, Inc.","Cisco","Government","10/3/2022","10/1/2022","Q4-2022","2022","559.0000000000","4125.00"
"Closed Won","Channel Inbound","Gulf","Carousel Industries of North America, Inc.","Cisco","Healthcare","4/8/2022","4/1/2022","Q2-2022","2022","63.0000000000","1548.00"
"Closed Lost","Channel Inbound","Northeast","Presidio Networked Solutions Group, LLC","Cisco; Cisco UCCX","Education","7/30/2020","7/1/2020","Q3-2020","2020","21.0000000000","10196.10"
"Closed Won","Customer Support","North Central","CDW Logistics, Inc.","Cisco","Education","4/29/2022","4/1/2022","Q2-2022","2022","79.0000000000","769.08"
"Closed Lost","Channel Inbound","","SHI International Corporation","Cisco","","10/7/2021","10/1/2021","Q4-2021","2021","769.0000000000","9600.00"
"Closed Lost","Channel Inbound","","Presidio Networked Solutions Group, LLC","Cisco","","6/10/2020","6/1/2020","Q2-2020","2020","454.0000000000","12472.00"
"Closed Won","Channel Inbound","Midwest","Burwood Group, Inc.","Cisco; Nortel","Healthcare","7/7/2020","7/1/2020","Q3-2020","2020","273.0000000000","23550.00"
"Closed Lost","Channel Inbound","","Advanced Network Management, Inc.","Cisco","","5/11/2021","5/1/2021","Q2-2021","2021","809.0000000000","39831.20"
"Closed Lost","Channel Inbound","","Advanced Network Management, Inc.","Cisco","","8/10/2020","8/1/2020","Q3-2020","2020","258.0000000000","45556.50"
"Closed Lost","Direct Sales","Midwest","","Cisco","Manufacturing","10/1/2020","10/1/2020","Q4-2020","2020","34.0000000000","7178.25"
"Closed Won","Channel Inbound","Midwest","ConvergeOne, Inc.","Cisco","Healthcare","1/30/2020","1/1/2020","Q1-2020","2020","324.0000000000","14999.20"
"Closed Lost","Channel Inbound","Northeast","SHI International Corporation","Microsoft Teams","Technology","6/25/2021","6/1/2021","Q2-2021","2021","305.0000000000","5582.00"
"Closed Lost","Customer Support","Gulf","Meriplex Communications, Ltd.","Cisco","Finance","5/12/2022","5/1/2022","Q2-2022","2022","92.0000000000","1441.20"
"Closed Lost","Customer Support","Northeast","","Cisco; Microsoft Teams","Finance","3/14/2023","3/1/2023","Q1-2023","2023","69.0000000000","7880.00"
"Closed Lost","Channel Inbound","Southeast","Internetwork Engineering","Cisco; Cisco UCCX; Cisco UCCE; Avaya","Healthcare","11/15/2022","11/1/2022","Q4-2022","2022","726.0000000000","90504.00"
"Closed Lost","Channel Inbound","North Central","","Cisco","Government","11/11/2021","11/1/2021","Q4-2021","2021","248.0000000000","14400.00"
"Closed Lost","Website","Northeast","","Cisco; Cisco UCCX; Cisco Webex Calling","Technology","11/22/2022","11/1/2022","Q4-2022","2022","139.0000000000","6780.00"
"Closed Won","Channel Inbound","Southeast","Katalyst Network Group, LLC","Cisco","Finance","4/12/2022","4/1/2022","Q2-2022","2022","19.0000000000","12240.00"
"Closed Won","Customer Support","Southeast","Katalyst Network Group, LLC","Cisco","Manufacturing","2/14/2023","2/1/2023","Q1-2023","2023","32.0000000000","707.50"
"Closed Lost","Channel Inbound","Northeast","ConvergeOne, Inc.","Avaya; Amazon Connect","Communications","8/1/2022","8/1/2022","Q3-2022","2022","124.0000000000","40320.00"
"Closed Lost","Direct Sales","Northeast","Servion Global Solutions Inc.","Cisco","Hospitality","4/13/2020","4/1/2020","Q2-2020","2020","300.0000000000","38310.00"
"Closed Lost","Customer Support","Northeast","","Avaya Aura Session Manager","Education","10/20/2022","10/1/2022","Q4-2022","2022","174.0000000000","2600.00"
"Closed Lost","Direct Sales","Northeast","","Cisco; Microsoft Lync; Avaya","Technology","9/26/2019","9/1/2019","Q3-2019","2019","6.0000000000","38310.00"
"Closed Lost","Channel Inbound","","World Wide Technology, Inc.","Cisco","","4/21/2021","4/1/2021","Q2-2021","2021","488.0000000000","25696.00"
"Closed Lost","Channel Inbound","Gulf","Pivot Technology Services Corporation","Cisco; Cisco UCCX","Utilities","1/31/2022","1/1/2022","Q1-2022","2022","412.0000000000","11400.00"
"Closed Lost","Channel Inbound","West","CompuNet Inc.","Cisco; Cisco UCCX","Government","5/17/2021","5/1/2021","Q2-2021","2021","101.0000000000","16330.02"
"Closed Lost","Customer Support","Midwest","Integration Partners Corporation","Cisco","Education","8/18/2022","8/1/2022","Q3-2022","2022","647.0000000000","19800.00"
"Closed Lost","Channel Inbound","West","Sentinel Technologies, Inc.","Cisco; Cisco UCCX","Legal","5/17/2021","5/1/2021","Q2-2021","2021","70.0000000000","24229.80"
"Closed Lost","Channel Inbound","Gulf","DataVox, Inc.","Cisco; Cisco UCCX; Cisco UCCE","Transportation","5/20/2021","5/1/2021","Q2-2021","2021","156.0000000000","22620.00"
"Closed Lost","Channel Inbound","Northeast","ConvergeOne, Inc.","Cisco","Other","6/10/2021","6/1/2021","Q2-2021","2021","177.0000000000","40320.00"
"Closed Lost","Channel Inbound","Midwest","Covene, LLC","Cisco","Machinery","4/19/2021","4/1/2021","Q2-2021","2021","77.0000000000","1440.00"
"Closed Lost","Website","West","","Cisco","Technology","10/19/2021","10/1/2021","Q4-2021","2021","183.0000000000","8294.00"
"Closed Won","Customer Support","West","CompuNet Inc.","Cisco; Cisco UCCX","Healthcare","3/2/2023","3/1/2023","Q1-2023","2023","6.0000000000","7661.90"
"Closed Won","Customer Support","Southeast","Internetwork Engineering","Cisco","Retail","5/8/2023","5/1/2023","Q2-2023","2023","40.0000000000","2700.00"
"Closed Lost","Customer Support","North Central","","Cisco","Healthcare","4/18/2023","4/1/2023","Q2-2023","2023","20.0000000000","527.16"
"Closed Lost","Customer Support","North Central","Zones, Inc.","Cisco","Healthcare","4/18/2023","4/1/2023","Q2-2023","2023","33.0000000000","2486.74"
"Closed Lost","Customer Support","Northeast","","Microsoft Teams","Education","5/4/2023","5/1/2023","Q2-2023","2023","71.0000000000","4940.00"
"Closed Lost","Direct Sales","Southeast","Internetwork Engineering","Cisco","Government","8/24/2022","8/1/2022","Q3-2022","2022","474.0000000000","13410.00"
"Closed Won","Customer Support","Midwest","","Cisco Webex Calling","Consulting","4/19/2023","4/1/2023","Q2-2023","2023","6.0000000000","825.00"
"Closed Lost","Channel Inbound","Southeast","Pedestal Technology","Cisco","Finance","3/25/2022","3/1/2022","Q1-2022","2022","676.0000000000","14829.15"
"Closed Lost","Customer Support","West","NTT America, Inc.","Nortel","Government","6/17/2020","6/1/2020","Q2-2020","2020","134.0000000000","18020.00"
"Closed Lost","Channel Inbound","North Central","ConvergeOne, Inc.","Cisco","Education","2/26/2020","2/1/2020","Q1-2020","2020","42.0000000000","8370.00"
"Closed Won","Customer Support","Northeast","","Cisco; Cisco UCCX; Avaya","Finance","4/27/2023","4/1/2023","Q2-2023","2023","7.0000000000","3084.00"
"Closed Lost","Channel Inbound","Gulf","Business Communications, Inc.","Cisco","Education","2/25/2021","2/1/2021","Q1-2021","2021","373.0000000000","12867.50"
"Closed Lost","Channel Inbound","Gulf","ConvergeOne, Inc.","Cisco","Healthcare","12/9/2022","12/1/2022","Q4-2022","2022","219.0000000000","16503.00"
"Closed Won","Marketing Campaign","North Central","CDW Logistics, Inc.","Mitel","Government","12/20/2022","12/1/2022","Q4-2022","2022","288.0000000000","56168.04"
"Closed Lost","Channel Inbound","Gulf","Business Communications, Inc.","Cisco","Education","5/17/2021","5/1/2021","Q2-2021","2021","454.0000000000","12775.00"
"Closed Lost","Customer Support","Midwest","CDW Logistics, Inc.","Cisco","Transportation","4/26/2022","4/1/2022","Q2-2022","2022","29.0000000000","6432.38"
"Closed Lost","Channel Inbound","Southeast","Katalyst Network Group, LLC","Cisco; Cisco UCCX","Finance","9/29/2022","9/1/2022","Q3-2022","2022","225.0000000000","24408.00"
"Closed Lost","Channel Inbound","Gulf","Axxys Technologies, Inc.","Cisco","Healthcare","9/2/2022","9/1/2022","Q3-2022","2022","226.0000000000","3120.00"
"Closed Lost","Channel Inbound","Southeast","Presidio Networked Solutions Group, LLC","Cisco","Government","10/7/2022","10/1/2022","Q4-2022","2022","149.0000000000","4080.00"
"Closed Lost","Channel Inbound","West","Sentinel Technologies, Inc.","Cisco","Education","5/23/2021","5/1/2021","Q2-2021","2021","347.0000000000","46425.00"
"Closed Lost","Channel Inbound","Southeast","ConvergeOne, Inc.","Cisco","Healthcare","1/18/2023","1/1/2023","Q1-2023","2023","679.0000000000","9408.00"
"Closed Won","Customer Support","Southeast","","NEC","Government","5/18/2022","5/1/2022","Q2-2022","2022","7.0000000000","1318.38"
"Closed Lost","Customer Support","Southeast","","Cisco; Cisco UCCX","Healthcare","9/9/2022","9/1/2022","Q3-2022","2022","163.0000000000","19041.36"
"Closed Lost","Marketing Campaign","West","AMS.NET INC.","Microsoft Teams","Government","1/5/2023","1/1/2023","Q1-2023","2023","490.0000000000","6451.50"
"Closed Lost","Website","Midwest","","Cisco; Cisco UCCX","Healthcare","7/13/2022","7/1/2022","Q3-2022","2022","366.0000000000","15120.00"
"Closed Lost","Marketing Campaign","West","AMS.NET INC.","Cisco","Government","12/2/2022","12/1/2022","Q4-2022","2022","459.0000000000","532.72"
"Closed Lost","Channel Inbound","North Central","ConvergeOne, Inc.","Cisco","Government","2/16/2022","2/1/2022","Q1-2022","2022","133.0000000000","77760.00"
"Closed Lost","Channel Inbound","Gulf","AT&T Services, Inc.","Cisco; Cisco UCCX","Healthcare","5/12/2022","5/1/2022","Q2-2022","2022","353.0000000000","21876.00"
"Closed Won","Channel Inbound","Gulf","Carousel Industries of North America, Inc.","Cisco","Healthcare","3/29/2021","3/1/2021","Q1-2021","2021","27.0000000000","5376.00"
"Closed Lost","Channel Inbound","West","Development Group, Inc.","Cisco","Transportation","6/1/2022","6/1/2022","Q2-2022","2022","533.0000000000","3840.00"
"Closed Lost","Channel Inbound","West","","Cisco; Cisco UCCX; Microsoft Teams","Healthcare","4/14/2021","4/1/2021","Q2-2021","2021","161.0000000000","8400.00"
"Closed Lost","Website","Southeast","NTT America, Inc.","Cisco; Avaya","Shipping","4/13/2023","4/1/2023","Q2-2023","2023","520.0000000000","31500.00"
"Closed Lost","Customer Support","West","","Cisco","Technology","3/8/2022","3/1/2022","Q1-2022","2022","161.0000000000","4800.00"
"Closed Lost","Channel Inbound","West","ConvergeOne, Inc.","Cisco","Government","4/13/2020","4/1/2020","Q2-2020","2020","21.0000000000","29326.00"
"Closed Won","Customer Support","Gulf","","Cisco; Avaya","Finance","1/6/2023","1/1/2023","Q1-2023","2023","122.0000000000","3781.26"
"Closed Lost","Channel Inbound","West","ConvergeOne, Inc.","Cisco","Education","6/10/2021","6/1/2021","Q2-2021","2021","198.0000000000","72900.00"
"Closed Won","Website","Midwest","TD Synnex","Cisco","Technology","8/31/2021","8/1/2021","Q3-2021","2021","139.0000000000","3600.00"
"Closed Lost","Channel Inbound","","CDW Logistics, Inc.","Cisco","","6/10/2020","6/1/2020","Q2-2020","2020","418.0000000000","4788.00"
"Closed Won","Channel Inbound","Midwest","ConvergeOne, Inc.","Cisco","Other","6/30/2020","6/1/2020","Q2-2020","2020","63.0000000000","27869.64"
"Closed Lost","Channel Inbound","","ConvergeOne, Inc.","Cisco","","6/3/2020","6/1/2020","Q2-2020","2020","436.0000000000","40566.25"
"Closed Lost","Website","Northeast","Presidio Networked Solutions Group, LLC","Cisco; Avaya; Nortel","Healthcare","3/2/2022","3/1/2022","Q1-2022","2022","1022.0000000000","90000.00"
"Closed Lost","Channel Inbound","","Verizon","Cisco","","4/16/2020","4/1/2020","Q2-2020","2020","245.0000000000","28088.00"
"Closed Won","Customer Support","","","Cisco","Government","9/30/2022","9/1/2022","Q3-2022","2022","360.0000000000","10950.00"
"Closed Lost","Website","Gulf","Business Communications, Inc.","Cisco","Education","3/4/2022","3/1/2022","Q1-2022","2022","305.0000000000","22800.00"
"Closed Won","Customer Support","Northeast","K Systems Solutions LLC","Cisco","Government","12/20/2022","12/1/2022","Q4-2022","2022","384.0000000000","16416.00"
"Closed Lost","Channel Inbound","West","Carousel Industries of North America, Inc.","Cisco","Healthcare","1/13/2023","1/1/2023","Q1-2023","2023","606.0000000000","12480.00"
"Closed Lost","ISI Generated Conversion","West","CDW Logistics, Inc.","Cisco","Technology","9/19/2022","9/1/2022","Q3-2022","2022","354.0000000000","22648.95"
"Closed Won","Customer Support","Midwest","","Cisco","Manufacturing","8/5/2022","8/1/2022","Q3-2022","2022","102.0000000000","1512.00"
"Closed Lost","Customer Support","Southeast","Presidio Networked Solutions Group, LLC","Cisco","Healthcare","2/9/2023","2/1/2023","Q1-2023","2023","262.0000000000","4282.82"
"Closed Won","Customer Support","Southeast","NWN Corporation","Cisco","Government","7/22/2022","7/1/2022","Q3-2022","2022","129.0000000000","2110.18"
"Closed Lost","Channel Inbound","Northeast","Presidio Networked Solutions Group, LLC","Cisco","Healthcare","6/17/2020","6/1/2020","Q2-2020","2020","131.0000000000","14423.15"
"Closed Won","Customer Support","Southeast","Katalyst Network Group, LLC","Cisco","Manufacturing","5/15/2023","5/1/2023","Q2-2023","2023","47.0000000000","1614.00"
"Closed Won","Customer Support","Northeast","","Cisco","Retail","12/12/2022","12/1/2022","Q4-2022","2022","80.0000000000","1960.00"
"Closed Lost","Channel Inbound","","Presidio Networked Solutions Group, LLC","Cisco","","5/6/2020","5/1/2020","Q2-2020","2020","258.0000000000","34603.42"
"Closed Won","Customer Support","Gulf","Presidio Networked Solutions Group, LLC","Cisco; Avaya","Finance","6/1/2022","6/1/2022","Q2-2022","2022","58.0000000000","1040.40"
"Closed Won","Channel Inbound","Northeast","Presidio Networked Solutions Group, LLC","Microsoft Teams","Technology","12/7/2021","12/1/2021","Q4-2021","2021","95.0000000000","17989.44"
"Closed Won","Direct Sales","Midwest","","Cisco","Healthcare","9/13/2022","9/1/2022","Q3-2022","2022","259.0000000000","2839.46"
"Closed Lost","Direct Sales","West","","Cisco","Insurance","3/1/2023","3/1/2023","Q1-2023","2023","373.0000000000","2500.00"
"Closed Won","Customer Support","Southeast","Presidio Networked Solutions Group, LLC","Cisco","Government","7/6/2022","7/1/2022","Q3-2022","2022","133.0000000000","2134.44"
"Closed Lost","Customer Support","Gulf","SHI International Corporation","Cisco; Cisco UCCX","Transportation","9/2/2022","9/1/2022","Q3-2022","2022","343.0000000000","576.00"
"Closed Lost","Customer Support","Gulf","World Wide Technology, Inc.","Cisco","Finance","4/20/2022","4/1/2022","Q2-2022","2022","21.0000000000","2520.00"
"Closed Lost","Channel Inbound","","ConvergeOne, Inc.","Cisco","","2/3/2021","2/1/2021","Q1-2021","2021","434.0000000000","4294.00"
"Closed Lost","Marketing Campaign","West","","Cisco","Utilities","10/29/2021","10/1/2021","Q4-2021","2021","470.0000000000","2742.80"
"Closed Won","Channel Inbound","Gulf","Presidio Networked Solutions Group, LLC","Cisco; Cisco UCCX","Healthcare","6/6/2022","6/1/2022","Q2-2022","2022","258.0000000000","48615.00"
"Closed Lost","Channel Inbound","Southeast","United Data Technologies, Inc.","Cisco; Avaya","Government","2/27/2020","2/1/2020","Q1-2020","2020","149.0000000000","2874.00"
"Closed Lost","Website","","","Cisco","","6/15/2021","6/1/2021","Q2-2021","2021","552.0000000000","21444.40"
"Closed Lost","Website","North Central","","Cisco","Other","8/9/2019","8/1/2019","Q3-2019","2019","43.0000000000","4230.00"
"Closed Lost","Channel Inbound","","CompuNet Inc.","Cisco","","4/16/2020","4/1/2020","Q2-2020","2020","336.0000000000","16872.00"
"Closed Lost","Channel Inbound","","Presidio Networked Solutions Group, LLC","Cisco","","3/13/2020","3/1/2020","Q1-2020","2020","228.0000000000","16872.00"
